业务线,序号,任务ID,任务名称,创建人,任务状态,创建时间,预计完成时间,实际完成时间,任务延期时长/天,任务总时长/天,预算单ID,预算单名称,WBS编号,利润中心,利润中心编号,一级部门,二级部门,三级部门,数据量（张）,数据存储,数据集群,费用（元）,账单确认,是否有数据包被打回,任务流程
DX,DX-BZ-2023-0084,17210,商品检测框标注,江心雨,标注中,2023-04-24,2023-04-24,,,,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,,lustre,SH-40,13.75,待确认,False,创建(2023-04-24) -> 文件上传(2023-04-24) -> 文件上传成功(2023-04-24) -> 运营调整任务完成时间(2023-04-24) -> 审核通过(2023-04-24) 
DX,DX-BZ-2023-0074,17048,商品检测框标注,江心雨,标注中,2023-04-04,2023-04-05,,,,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,,lustre,SH-40,68.8,待确认,False,创建(2023-04-04) -> 文件上传(2023-04-04) -> 文件上传成功(2023-04-04) -> 运营调整任务完成时间(2023-04-04) -> 审核通过(2023-04-04) 
DX,DX-BZ-2023-0075,17061,商品检测框标注,江心雨,任务终止,2023-04-06,2023-04-30,,,,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,78.0,lustre,SH-40,13.75,已确认,False,创建(2023-04-06) -> 文件上传(2023-04-06) -> 文件上传成功(2023-04-06) -> 运营调整任务完成时间(2023-04-06) -> 审核通过(2023-04-06) -> 任务标注中被运营撤回到审核中(2023-04-06) -> 运营调整任务完成时间(2023-04-06) -> 审核通过(2023-04-06) -> 终止任务(2023-04-06) 
DX,DX-BZ-2023-0003,16022,有预标注的wtt场地的人体检测和29关键点标注(修正标注),冯律,任务终止,2023-01-05,2023-01-08,,,,2070,SenseOmni智慧体育产品预研SCG09,R-SC220924.001,创新业务部,SCG09,智慧城市与商业事业群,创新业务部,智慧体育创新中心,500.0,lustre,SH-40,82.6,已确认,False,创建(2023-01-05) -> 文件上传(2023-01-05) -> 文件上传失败(2023-01-05) -> 文件上传(2023-01-05) -> 重新提交任务(2023-01-05) -> 预标注数据上传失败(2023-01-05) -> 文件上传(2023-01-05) -> 重新提交任务(2023-01-05) -> 预标注数据上传失败(2023-01-05) -> 文件上传(2023-01-06) -> 重新提交任务(2023-01-06) -> 文件上传成功(2023-01-06) -> 预标注数据上传成功(2023-01-06) -> 运营调整任务完成时间(2023-01-06) -> 审核通过(2023-01-06) -> 终止任务(2023-01-17) 
DX,DX-BZ-2023-0081,17188,2cam 20230324to0420回流数据检测标注,储祥翠,任务完成,2023-04-21,2023-04-21,2023-04-24,3.0,3.0,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,2800.0,lustre,SH-40,899.27,待确认,False,创建(2023-04-21) -> 文件上传(2023-04-21) -> 文件上传成功(2023-04-21) -> 运营调整任务完成时间(2023-04-21) -> 审核通过(2023-04-21) -> 标注完成(2023-04-24) -> 标注验收通过(2023-04-24) 
DX,DX-BZ-2023-0082,17189,3cam 20230411to0420回流数据检测标注,储祥翠,任务完成,2023-04-21,2023-04-21,2023-04-24,3.0,3.0,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,958.0,lustre,SH-40,323.82,待确认,False,创建(2023-04-21) -> 文件上传(2023-04-21) -> 文件上传成功(2023-04-21) -> 运营调整任务完成时间(2023-04-21) -> 审核通过(2023-04-21) -> 标注完成(2023-04-24) -> 标注验收通过(2023-04-24) 
DX,DX-BZ-2023-0083,17192,商品检测框标注,江心雨,任务完成,2023-04-21,2023-04-22,2023-04-24,2.0,3.0,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,57.0,lustre,SH-40,97.63,已确认,False,创建(2023-04-21) -> 文件上传(2023-04-21) -> 文件上传成功(2023-04-21) -> 撤回任务(2023-04-21) -> 文件上传(2023-04-21) -> 重新提交任务(2023-04-21) -> 文件上传成功(2023-04-21) -> 运营调整任务完成时间(2023-04-21) -> 审核通过(2023-04-21) -> 标注完成(2023-04-24) -> 标注验收通过(2023-04-24) 
DX,DX-BZ-2023-0080,17176,动态20230411上新数据检测标注,储祥翠,任务完成,2023-04-20,2023-04-24,2023-04-24,0.0,4.0,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,7348.0,lustre,ABUD,1364.1,待确认,False,创建(2023-04-20) -> 文件上传(2023-04-20) -> 文件上传成功(2023-04-20) -> 运营调整任务完成时间(2023-04-20) -> 审核通过(2023-04-20) -> 标注完成(2023-04-24) -> 标注验收通过(2023-04-24) 
DX,DX-BZ-2023-0078,17092,3cam 20230310to0409上海人工回流数据检测标注,储祥翠,任务完成,2023-04-11,2023-04-11,2023-04-12,1.0,1.0,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,4388.0,lustre,SH-40,1222.72,已确认,False,创建(2023-04-11) -> 文件上传(2023-04-11) -> 文件上传成功(2023-04-11) -> 运营调整任务完成时间(2023-04-11) -> 审核通过(2023-04-11) -> 标注完成(2023-04-12) -> 标注验收通过(2023-04-12) 
DX,DX-BZ-2023-0079,17098,商品检测框标注,江心雨,任务完成,2023-04-11,2023-04-13,2023-04-20,7.0,9.0,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,2574.0,lustre,SH-40,5347.2,已确认,True,创建(2023-04-11) -> 文件上传(2023-04-11) -> 文件上传成功(2023-04-11) -> 运营调整任务完成时间(2023-04-11) -> 审核通过(2023-04-11) -> 标注完成(2023-04-15) -> 验收中有数据包被打回(2023-04-20) -> 标注完成(2023-04-20) -> 标注验收通过(2023-04-20) 
DX,DX-BZ-2023-0077,17088,3cam 202304036to0410长沙人工回流数据检测标注,储祥翠,任务完成,2023-04-10,2023-04-11,2023-04-14,3.0,4.0,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,9707.0,lustre,SH-40,2855.86,已确认,True,创建(2023-04-10) -> 文件上传(2023-04-10) -> 文件上传成功(2023-04-10) -> 运营调整任务完成时间(2023-04-11) -> 审核通过(2023-04-11) -> 标注完成(2023-04-13) -> 验收中有数据包被打回(2023-04-13) -> 标注完成(2023-04-13) -> 标注验收通过(2023-04-14) 
DX,DX-BZ-2023-0076,17063,商品检测框标注 复制[17061],李仁萱,任务完成,2023-04-06,2023-04-06,2023-04-19,13.0,13.0,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,78.0,lustre,SH-40,157.6,已确认,False,创建(2023-04-06) -> 文件上传(2023-04-06) -> 文件上传成功(2023-04-06) -> 运营调整任务完成时间(2023-04-06) -> 审核通过(2023-04-06) -> 标注完成(2023-04-08) -> 标注验收通过(2023-04-19) 
DX,DX-BZ-2023-0070,17004,半监督20230328订单数据检测标注,储祥翠,任务完成,2023-04-03,2023-04-07,2023-04-04,0.0,1.0,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,2483.0,lustre,SH-40,728.49,已确认,True,创建(2023-04-03) -> 文件上传(2023-04-03) -> 文件上传成功(2023-04-03) -> 运营调整任务完成时间(2023-04-03) -> 审核通过(2023-04-03) -> 标注完成(2023-04-03) -> 验收中有数据包被打回(2023-04-04) -> 标注完成(2023-04-04) -> 标注验收通过(2023-04-04) 
DX,DX-BZ-2023-0071,17018,动态冻柜上新20230331订单数据检测标注,储祥翠,任务完成,2023-04-03,2023-04-07,2023-04-07,0.0,4.0,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,6590.0,lustre,SH-40,1118.71,已确认,True,创建(2023-04-03) -> 文件上传(2023-04-03) -> 文件上传成功(2023-04-03) -> 运营调整任务完成时间(2023-04-03) -> 审核通过(2023-04-03) -> 标注完成(2023-04-04) -> 验收中有数据包被打回(2023-04-07) -> 标注完成(2023-04-07) -> 标注验收通过(2023-04-07) 
DX,DX-BZ-2023-0072,17019,动态20230329开城上新数据检测标注,储祥翠,任务完成,2023-04-03,2023-04-07,2023-04-11,4.0,8.0,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,10165.0,lustre,SH-40,1516.48,已确认,True,创建(2023-04-03) -> 文件上传(2023-04-03) -> 文件上传成功(2023-04-03) -> 运营调整任务完成时间(2023-04-03) -> 审核通过(2023-04-03) -> 标注完成(2023-04-11) -> 验收中有数据包被打回(2023-04-11) -> 标注完成(2023-04-11) -> 验收中有数据包被打回(2023-04-11) -> 标注完成(2023-04-11) -> 标注验收通过(2023-04-11) 
DX,DX-BZ-2023-0073,17020,动态20230330上新数据检测标注,储祥翠,任务完成,2023-04-03,2023-04-07,2023-04-11,4.0,8.0,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,14995.0,lustre,SH-40,2307.22,已确认,True,创建(2023-04-03) -> 文件上传(2023-04-03) -> 文件上传成功(2023-04-03) -> 运营调整任务完成时间(2023-04-04) -> 审核通过(2023-04-04) -> 标注完成(2023-04-11) -> 验收中有数据包被打回(2023-04-11) -> 标注完成(2023-04-11) -> 标注验收通过(2023-04-11) 
DX,DX-BZ-2023-0067,16977,商品检测框标注,江心雨,任务完成,2023-03-31,2023-03-31,2023-04-04,4.0,4.0,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,214.0,lustre,SH-40,445.31,已确认,True,创建(2023-03-31) -> 文件上传(2023-03-31) -> 文件上传成功(2023-03-31) -> 运营调整任务完成时间(2023-03-31) -> 审核通过(2023-03-31) -> 标注完成(2023-04-01) -> 验收中有数据包被打回(2023-04-02) -> 标注完成(2023-04-02) -> 验收中有数据包被打回(2023-04-02) -> 标注完成(2023-04-02) -> 标注验收通过(2023-04-04) 
DX,DX-BZ-2023-0068,16983,商品检测框标注,江心雨,任务完成,2023-03-31,2023-04-01,2023-04-04,3.0,4.0,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,748.0,lustre,ABUD,1464.95,已确认,False,创建(2023-03-31) -> 文件上传(2023-03-31) -> 文件上传失败(2023-03-31) -> 文件上传(2023-03-31) -> 重新提交任务(2023-03-31) -> 文件上传成功(2023-03-31) -> 运营调整任务完成时间(2023-03-31) -> 审核通过(2023-03-31) -> 标注完成(2023-04-04) -> 标注验收通过(2023-04-04) 
DX,DX-BZ-2023-0069,16986,商品检测框标注,江心雨,任务完成,2023-03-31,2023-04-01,2023-04-04,3.0,4.0,2017,智能冰箱+SKU预研动态冰箱SCG00,R-SC220886.001,SCG公共,SCG00,智慧城市与商业事业群,创新业务部,智慧体育创新中心,169.0,lustre,ABUD,278.16,已确认,False,创建(2023-03-31) -> 文件上传(2023-03-31) -> 文件上传失败(2023-03-31) -> 文件上传(2023-03-31) -> 重新提交任务(2023-03-31) -> 文件上传成功(2023-03-31) -> 运营调整任务完成时间(2023-03-31) -> 审核通过(2023-03-31) -> 标注完成(2023-04-03) -> 标注验收通过(2023-04-04) 
